,Sym,Amount (000)
2014-06-01,REGN,18.4
2014-06-01,WY,155.7
2014-06-01,MRO,128.9
2014-06-01,MET,101.3
2014-06-01,PH,39.7
2014-06-01,PG,62.8
2014-06-01,URI,44.6
2014-06-01,IPG,236.2
2014-06-01,IP,91.6
2014-06-01,NOC,35.7
2014-06-01,WYNN,20.3
2014-06-01,LOW,85.4
2014-06-01,MHK,29.3
2014-06-01,EMN,46.1
2014-06-01,FMC,63.3
2014-06-01,KLAC,50.6
2014-06-01,PRU,40.8
2014-06-01,LMT,22.4
2014-06-01,AFL,113.2
2014-06-01,BXP,27.8
2014-06-01,LH,31.5
2014-06-01,ROST,95.1
2014-06-01,MPC,80.0
2014-06-01,SLB,26.2
2014-06-01,JBHT,40.1
2014-06-01,HON,31.7
2014-06-01,SO,60.4
2014-06-01,EBAY,129.6
2014-06-01,GIS,51.9
2014-06-01,ED,45.0
2014-06-01,PAYX,60.6
2014-06-01,CI,27.1
2014-06-01,TSCO,39.2
2014-06-01,DVA,31.1
2014-06-01,CMI,14.4
2014-06-01,K,33.4
2014-06-01,HAL,29.8
2014-06-01,ATVI,94.4
2014-06-01,AEP,36.5
2014-06-01,CF,42.0
2014-06-01,MO,46.0
2014-06-01,DLTR,35.1
2014-06-01,RCL,34.1
2014-06-01,MAS,96.5
2014-06-01,ITW,20.7
2014-06-01,STLD,97.8
2014-06-01,STZ,19.6
2014-06-01,RHI,34.2
2014-06-01,DHR,26.6
2014-06-01,ETR,19.1
2014-06-01,AZO,2.9
2014-06-01,LNC,29.8
2014-06-01,PCAR,24.2
2014-06-01,ICE,38.0
2014-06-01,PEG,34.7
2014-06-01,CTSH,28.8
2014-06-01,T,52.4
2014-06-01,MDLZ,34.8
2014-06-01,WM,27.9
2014-06-01,DIS,14.5
2014-06-01,NEE,48.3
2014-06-01,DOV,14.3
2014-06-01,SHW,15.1
2014-06-01,PNR,21.3
2014-06-01,VRSK,17.0
2014-06-01,EIX,17.0
2014-06-01,PSX,11.7
2014-06-01,TSN,24.5
