,Sym,Amount (000)
2015-06-01,GE,1762.8
2015-06-01,SNY,3905.9
2015-06-01,GHC,178.0
2015-06-01,VRSK,1563.4
2015-06-01,DNOW,1825.6
2015-06-01,JNJ,327.1
2015-06-01,MDLZ,578.0
2015-06-01,UPS,59.4
2015-06-01,LEE,8.9
2015-06-01,PSX,29698.0
2015-06-01,XOM,0.0
2015-06-01,COP,0.0
2015-06-01,NOV,0.0
2015-06-01,MEG,0.0
2015-06-01,KHC,0.0
2015-06-01,AAPL,0.0
2015-06-01,KMI,0.0
2015-06-01,LILA,0.0
2015-06-01,LILAK,0.0
2015-06-01,CHTR,0.0
2015-06-01,LUV,0.0
2015-06-01,DAL,0.0
2015-06-01,AAL,0.0
2015-06-01,UAL,0.0
2015-06-01,SIRI,0.0
2015-06-01,BAC,0.0
2015-06-01,SYF,0.0
2015-06-01,TEVA,0.0
2015-06-01,STOR,0.0
2015-06-01,JPM,0.0
2015-06-01,PNC,0.0
2015-06-01,AMZN,0.0
2015-06-01,TRV,0.0
2015-06-01,STNE,0.0
2015-06-01,KR,0.0
2015-06-01,OXY,0.0
2015-06-01,BIIB,0.0
2015-06-01,RH,0.0
2015-06-01,CVX,0.0
2015-06-01,ABBV,0.0
2015-06-01,BMY,0.0
2015-06-01,SNOW,0.0
2015-06-01,MRK,0.0
2015-06-01,AON,0.0
2015-06-01,TMUS,0.0
2015-06-01,MMC,0.0
2015-06-01,ATVI,0.0
2015-06-01,HPQ,0.0
2015-06-01,C,0.0
2015-06-01,PARA,0.0
2015-06-01,CE,0.0
2015-06-01,MCK,0.0
2015-06-01,MKL,0.0
2015-06-01,ALLY,0.0
2015-06-01,FND,0.0
2015-06-01,RPRX,0.0
2015-06-01,FWONA,0.0
2015-06-01,OGN,0.0
2015-06-01,T,0.0
2015-06-01,ORCL,0.0
2015-06-01,PFE,0.0
2015-06-01,TSM,0.0
2015-06-01,LPX,0.0
2015-06-01,JEF,0.0
2015-09-01,WFC,470292.4
2015-09-01,KHC,325634.8
2015-09-01,KO,400000.0
2015-09-01,IBM,84761.0
2015-09-01,AXP,151610.7
2015-09-01,PSX,61486.9
2015-09-01,PG,52793.1
2015-09-01,WMT,56185.3
2015-09-01,USB,85063.2
2015-09-01,DVA,38565.6
2015-09-01,MCO,24669.8
2015-09-01,T,78540.7
2015-09-01,GS,10959.5
2015-09-01,LBRDA,35148.1
2015-09-01,GM,50000.0
2015-09-01,DE,17052.1
2015-09-01,VRSN,12985.0
2015-09-01,BK,20112.2
2015-09-01,V,9885.2
2015-09-01,MTB,5382.0
2015-09-01,VZ,15000.9
2015-09-01,COST,4333.4
2015-09-01,AXTA,23199.5
2015-09-01,FWONK,21016.7
2015-09-01,LBTYA,11957.3
2015-09-01,MA,5229.8
2015-09-01,GL,6353.7
2015-09-01,QSR,8438.2
