,GS10,GS2,T10Y2YM,BAMLC0A2CAAEY,BAMLC0A4CBBBEY,FEDFUNDS,CORESTICKM159SFRBATL,DPCCRV1Q225SBEA,EXPINF1YR,EXPINF5YR,PCOPPUSDM,POILWTIUSDM,PCOALAUUSDM,PALUMUSDM,PIORECRUSDM,RTWEXBGS,UNRATE,A191RP1Q027SBEA,B075RC1Q027SBEA,China GDP Growth,GOLD
2015-10-01,2.07,0.64,1.43,2.64,4.12,0.12,2.3462109,0.9,1.3119821,1.579485,5216.09090909091,46.2686363636364,57.3306818181817,1516.48863636364,53.6590909090909,102.6588,5.0,0.5,295.598,6.933333333333333,1159.25
2015-11-01,2.26,0.88,1.38,2.6500000000000004,4.12,0.12,2.4052606,1.1666666666666667,1.3066673,1.6363077,4799.90476190476,42.5852380952381,55.7780612244897,1467.89285714286,47.1904761904762,104.3577,5.1,1.0,300.61400000000003,6.666666666666667,1086.44
2015-12-01,2.24,0.98,1.26,2.66,4.12,0.24,2.4436874,1.4333333333333333,1.46795515,1.66549508,4638.83333333333,37.3960869565217,55.8658163265305,1497.20238095238,40.8826086956522,105.157,5.0,1.5,305.63,6.4,1075.74
2016-01-01,2.09,0.9,1.19,2.6550000000000002,4.300000000000001,0.34,2.4667222,1.7,1.47498776,1.70130035,4471.7875,31.7842857142857,53.4289285714285,1481.1,42.2047619047619,107.4519,4.8,2.0,310.646,5.733333333333333,1097.91
2016-02-01,1.78,0.73,1.05,2.65,4.48,0.38,2.5442092,1.8666666666666667,1.11589387,1.52606345,4598.61904761905,30.377619047619,53.7816326530611,1531.2619047619,46.4857142857143,106.1111,4.9,2.6999999999999997,312.17633333333333,5.066666666666666,1199.5
2016-03-01,1.89,0.88,1.01,2.66,4.39,0.36,2.531878,2.033333333333333,0.78224551,1.43394055,4953.79761904762,37.9017391304348,55.4352040816325,1531.0119047619,56.5391304347826,103.9717,5.0,3.3999999999999995,313.7066666666667,4.3999999999999995,1245.14
2016-04-01,1.81,0.77,1.04,2.37,3.87,0.37,2.537996,2.2,1.68966418,1.60102719,4872.7380952381,41.0319047619048,54.6586734693876,1571.22619047619,60.9666666666667,102.4933,5.1,4.1,315.237,5.333333333333333,1242.26
2016-05-01,1.81,0.82,0.99,2.39,3.795,0.37,2.5711572,2.1,1.66012215,1.62654651,4694.5375,46.8418181818182,54.5271428571427,1550.625,55.8863636363636,103.562,4.8,3.933333333333333,317.48333333333335,6.266666666666666,1260.95
2016-06-01,1.64,0.73,0.91,2.41,3.72,0.38,2.5689022,2.0,1.28116185,1.56184274,4641.96590909091,48.7918181818182,56.2285714285713,1593.50681818182,52.3409090909091,104.0087,4.9,3.7666666666666666,319.7296666666667,7.199999999999999,1276.4
2016-07-01,1.5,0.67,0.83,2.11,3.41,0.39,2.5758512,1.9,1.64813436,1.50923924,4864.90476190476,44.8961904761905,64.4183673469387,1629.04761904762,57.3095238095238,104.6866,4.8,3.6,321.976,7.199999999999999,1336.66
2016-08-01,1.56,0.74,0.82,2.1,3.29,0.4,2.7228064,1.7666666666666666,1.5900866,1.51843982,4751.67045454546,44.7517391304348,71.3269480519479,1639.28409090909,60.8695652173913,103.8619,4.9,3.8000000000000003,314.51533333333333,7.199999999999999,1340.17
2016-09-01,1.63,0.77,0.86,2.14,3.26,0.4,2.6321032,1.6333333333333333,2.06443724,1.64784373,4722.20454545455,45.2,76.3738636363635,1592.36363636364,57.6590909090909,104.7495,5.0,4.0,307.05466666666666,7.199999999999999,1326.61
2016-10-01,1.76,0.84,0.92,2.2350000000000003,3.335,0.4,2.5095184,1.5,1.74399736,1.58977135,4731.2619047619,49.8095238095238,96.2397959183672,1665.90476190476,58.9523809523809,105.8228,4.9,4.2,299.594,7.066666666666666,1266.55
2016-11-01,2.14,0.98,1.16,2.33,3.41,0.41,2.5258013,1.6333333333333333,1.90220184,1.65806018,5450.93181818182,45.4709090909091,111.428084415584,1737.11363636364,74.1363636363636,108.2368,4.7,4.1,270.30833333333334,6.933333333333334,1238.35
2016-12-01,2.49,1.2,1.29,2.79,3.89,0.54,2.594944,1.7666666666666666,2.2917332,1.89000404,5660.35,52.0527272727273,93.1344642857141,1727.7375,79.4318181818182,109.9567,4.7,4.0,241.02266666666665,6.800000000000001,1157.36
2017-01-01,2.43,1.21,1.22,2.7800000000000002,3.835,0.65,2.661562,1.9,2.1027318,1.8454627,5754.55952380952,52.5618181818182,91.4244897959182,1791.2380952381,80.8181818181818,109.7401,4.7,3.9,211.737,6.2666666666666675,1192.1
2017-02-01,2.42,1.2,1.22,2.77,3.78,0.66,2.67446,1.7666666666666666,1.94277371,1.82718762,5940.9125,53.45,85.9692857142856,1860.75,88.95,108.3358,4.6,3.6999999999999997,216.29533333333333,5.733333333333333,1234.2
2017-03-01,2.48,1.31,1.17,2.76,3.74,0.79,2.453344,1.6333333333333333,1.50314821,1.75034457,5824.63043478261,49.3630434782609,86.3338509316768,1901.46739130435,87.195652173913,107.6411,4.4,3.5,220.85366666666667,5.2,1231.42
2017-04-01,2.3,1.24,1.06,2.735,3.7,0.9,2.25217,1.5,1.71866969,1.74714341,5683.90277777778,51.174,90.1107142857141,1921.22222222222,70.4,106.6403,4.4,3.3,225.412,5.733333333333333,1266.88
2017-05-01,2.3,1.3,1.0,2.71,3.66,0.91,2.155911,1.4333333333333333,1.56480634,1.71269334,5599.55952380952,48.5595652173913,80.1183673469386,1913.02380952381,61.6304347826087,106.0061,4.4,4.0,230.70000000000002,6.2666666666666675,1246.04
2017-06-01,2.19,1.34,0.85,2.65,3.54,1.04,2.13853,1.3666666666666667,0.95868776,1.54109835,5719.76136363636,45.1854545454545,85.6733766233764,1885.28636363636,57.8636363636364,104.5917,4.3,4.7,235.988,6.800000000000001,1260.26
2017-07-01,2.32,1.37,0.95,2.62,3.495,1.15,2.146769,1.3,1.71215951,1.73893855,5985.11904761905,46.5819047619048,90.7739795918366,1902.96428571429,66.7380952380952,102.8676,4.3,5.4,241.276,6.800000000000001,1236.84
2017-08-01,2.21,1.34,0.87,2.59,3.45,1.16,2.089832,1.5333333333333334,1.65217832,1.70005771,6485.625,48.0478260869565,102.772402597402,2030.01136363636,74.5869565217391,101.9098,4.4,5.933333333333334,241.83533333333335,6.800000000000001,1283.04
2017-09-01,2.2,1.38,0.82,2.58,3.46,1.15,2.106697,1.7666666666666666,2.05780237,1.77325229,6577.16666666667,49.7357142857143,104.775,2096.4880952381,69.2380952380952,101.2776,4.3,6.466666666666667,242.39466666666667,6.800000000000001,1314.07
2017-10-01,2.36,1.55,0.81,2.635,3.49,1.15,2.192819,2.0,1.95269933,1.80800185,6807.60227272727,51.5731818181818,103.249675324675,2131.48863636364,61.0454545454545,103.085,4.2,7.0,242.954,6.666666666666667,1279.51
2017-11-01,2.35,1.7,0.65,2.69,3.52,1.16,2.115031,2.2,2.06917502,1.85217904,6826.54545454546,56.7381818181818,102.487012987013,2097.44090909091,63.4090909090909,103.2511,4.2,6.433333333333334,230.79333333333335,6.533333333333334,1281.9
2017-12-01,2.4,1.84,0.56,2.74,3.58,1.3,2.125472,2.4,2.82407476,2.01718195,6833.89473684211,57.9204761904762,105.968796992481,2080.47368421053,71.7380952380952,102.9443,4.1,5.866666666666666,218.63266666666667,6.4,1264.45
2018-01-01,2.58,2.03,0.55,2.895,3.69,1.41,2.166829,2.6,1.9048938,1.86617639,7065.85227272727,63.5847826086957,111.93262987013,2209.72727272727,75.7826086956522,100.7393,4.0,5.3,206.472,6.133333333333334,1331.3
2018-02-01,2.86,2.18,0.68,3.05,3.8,1.42,2.129934,2.466666666666667,2.13804094,2.00534843,7006.525,62.227,111.477321428571,2181.7875,77.65,100.1668,4.1,5.666666666666667,213.389,5.866666666666667,1330.73
2018-03-01,2.84,2.28,0.56,3.21,4.0,1.51,2.359611,2.3333333333333335,1.68874433,1.86072811,6799.17857142857,62.8304545454545,105.72806122449,2069.2380952381,71.3181818181818,100.4167,4.0,6.033333333333333,220.306,5.6000000000000005,1324.66
2018-04-01,2.87,2.38,0.49,3.3449999999999998,4.154999999999999,1.69,2.492147,2.2,1.84679022,1.89293546,6851.5125,66.3138095238095,99.2233928571427,2254.6875,66.3333333333333,100.5058,4.0,6.4,227.223,6.133333333333334,1334.76
2018-05-01,2.98,2.51,0.47,3.48,4.31,1.7,2.544964,1.9333333333333333,1.96778394,2.00894606,6825.27380952381,69.8986956521739,109.375,2299.66666666667,66.6304347826087,103.5068,3.8,5.7,227.79866666666666,6.666666666666666,1303.45
2018-06-01,2.91,2.53,0.38,3.45,4.33,1.82,2.558656,1.6666666666666665,1.59099529,1.92400996,6965.85714285714,67.8761904761905,121.524489795918,2237.61904761905,66.8571428571429,105.1027,4.0,5.0,228.37433333333334,7.199999999999999,1281.57
2018-07-01,2.89,2.61,0.28,3.49,4.359999999999999,1.91,2.531541,1.4,2.12308939,2.03159462,6250.75,71.0745454545455,125.085876623376,2082.23863636364,67.0454545454545,105.0835,3.8,4.3,228.95,6.933333333333333,1237.71
